id,post_id,donor_id,donor_name,recipient_id,recipient_name,contribution,services_rendered,year,candidate_id,candidate_name
104620,159793,22281,"F.M. Kirby Foundation",3659,"Wake Forest University",500000,,2012,,
104621,159794,22281,"F.M. Kirby Foundation",22421,"Weatherspoon Art Museum",10000,,2012,,
104622,159795,22281,"F.M. Kirby Foundation",22596,"Wheaton Arts and Cultural Center",20000,,2012,,
104623,159796,22281,"F.M. Kirby Foundation",22422,"Wilkes-Barre Family YMCA",50000,,2012,,
104624,159797,22281,"F.M. Kirby Foundation",22424,"Winterthur Museum Garden and Library",45000,,2012,,
104625,159798,22281,"F.M. Kirby Foundation",22426,"Wyoming Seminary",450000,,2012,,
104626,159799,22281,"F.M. Kirby Foundation",22426,"Wyoming Seminary",850000,,2012,,
104627,159800,22281,"F.M. Kirby Foundation",12152,"Yale School of Medicine",150000,,2012,,
104628,159801,22281,"F.M. Kirby Foundation",899,"Young America's Foundation",100000,,2012,,
104629,159802,22281,"F.M. Kirby Foundation",22427,"Zeta Psi Educational Foundation",25000,,2012,,
104065,159238,22281,"F.M. Kirby Foundation",22282,"Action on Smoking and Health",100000,,2011,,
104066,159239,22281,"F.M. Kirby Foundation",7717,"Adirondack Museum",27500,,2011,,
104067,159240,22281,"F.M. Kirby Foundation",22283,"Adirondack Nature Conservancy &amp; Land Trust",55000,,2011,,
104068,159241,22281,"F.M. Kirby Foundation",22573,"Aircraft Owners and Pilots Association",7500,,2011,,
104069,159242,22281,"F.M. Kirby Foundation",16959,"ALFRE Inc.",25000,,2011,,
104070,159243,22281,"F.M. Kirby Foundation",22456,"Alzheimer's Association - Greater New Jersey Chapter",22500,,2011,,
104071,159244,22281,"F.M. Kirby Foundation",6041,"Alzheimer's Disease and Related Disorders Association",400000,,2011,,
104072,159245,22281,"F.M. Kirby Foundation",7263,"American Ballet Theatre",25000,,2011,,
104073,159246,22281,"F.M. Kirby Foundation",1453,"American Cancer Society",100000,,2011,,
104074,159247,22281,"F.M. Kirby Foundation",1453,"American Cancer Society",250000,,2011,,
104075,159248,22281,"F.M. Kirby Foundation",937,"American Council of Trustees and Alumni",10000,,2011,,
